name,max_velocity_hard_limit,eps,min_samples,recall,precision,beta,fbeta_score,status,status_details,min_duration_sec
factory_vfhdbscan,1.0,10.0,1.0,0.559322033898305,0.007980812967787288,1.0,0.01573707787988031,success,,
factory_vfhdbscan,1.0,10.0,3.0,0.1327683615819209,0.17509727626459143,1.0,0.15102288550108892,success,,
factory_vfhdbscan,1.0,10.0,5.0,0.00847457627118644,0.6666666666666666,1.0,0.01673640167364017,success,,
factory_vfhdbscan,1.0,10.0,7.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,10.0,9.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,10.0,11.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,10.0,13.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,20.0,1.0,0.53954802259887,0.07547939616483068,1.0,0.13243233620235706,success,,
factory_vfhdbscan,1.0,20.0,3.0,0.4745762711864407,0.1330049261083744,1.0,0.20777793046585133,success,,
factory_vfhdbscan,1.0,20.0,5.0,0.03954802259887006,0.104,1.0,0.05730478589420655,success,,
factory_vfhdbscan,1.0,20.0,7.0,0.002824858757062147,0.5,1.0,0.0056179775280898875,success,,
factory_vfhdbscan,1.0,20.0,9.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,20.0,11.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,20.0,13.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,30.0,1.0,0.519774011299435,0.0818847209515096,1.0,0.14148070190510964,success,,
factory_vfhdbscan,1.0,30.0,3.0,0.4689265536723164,0.14035087719298245,1.0,0.2160403448836831,success,,
factory_vfhdbscan,1.0,30.0,5.0,0.4011299435028249,0.16928657799274485,1.0,0.2380923865528103,success,,
factory_vfhdbscan,1.0,30.0,7.0,0.03389830508474576,0.10909090909090909,1.0,0.051724137931034475,success,,
factory_vfhdbscan,1.0,30.0,9.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,30.0,11.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,30.0,13.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,40.0,1.0,0.5169491525423728,0.08533077660594439,1.0,0.14648229342327151,success,,
factory_vfhdbscan,1.0,40.0,3.0,0.4661016949152542,0.14389140271493212,1.0,0.21989765769390343,success,,
factory_vfhdbscan,1.0,40.0,5.0,0.3954802259887006,0.1806282722513089,1.0,0.2479911688445049,success,,
factory_vfhdbscan,1.0,40.0,7.0,0.3389830508474576,0.2073170731707317,1.0,0.25728339008702233,success,,
factory_vfhdbscan,1.0,40.0,9.0,0.0423728813559322,0.1346153846153846,1.0,0.06445672191528545,success,,
factory_vfhdbscan,1.0,40.0,11.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,40.0,13.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,50.0,1.0,0.5,0.08669354838709678,1.0,0.14776632302405499,success,,
factory_vfhdbscan,1.0,50.0,3.0,0.4548022598870056,0.14391829155060354,1.0,0.21864746108723557,success,,
factory_vfhdbscan,1.0,50.0,5.0,0.3926553672316384,0.18230563002680966,1.0,0.24900222605671835,success,,
factory_vfhdbscan,1.0,50.0,7.0,0.3531073446327684,0.2309124767225326,1.0,0.2792264526531017,success,,
factory_vfhdbscan,1.0,50.0,9.0,0.3135593220338983,0.26128266033254155,1.0,0.2850439471933326,success,,
factory_vfhdbscan,1.0,50.0,11.0,0.03672316384180791,0.11214953271028037,1.0,0.05532895903528994,success,,
factory_vfhdbscan,1.0,50.0,13.0,-1.0,-1.0,1.0,-1.0,fail,No joins between clusters & plan,
factory_vfhdbscan,1.0,60.0,1.0,0.4943502824858757,0.08919202518363065,1.0,0.15111878698600564,success,,
factory_vfhdbscan,1.0,60.0,3.0,0.4519774011299435,0.14708691499522444,1.0,0.22194599074024032,success,,
factory_vfhdbscan,1.0,60.0,5.0,0.3898305084745763,0.18267929634641408,1.0,0.2487781427770211,success,,
factory_vfhdbscan,1.0,60.0,7.0,0.3446327683615819,0.22916666666666666,1.0,0.27528205128205124,success,,
factory_vfhdbscan,1.0,60.0,9.0,0.3135593220338983,0.2827763496143959,1.0,0.2973733240784715,success,,
factory_vfhdbscan,1.0,60.0,11.0,0.307909604519774,0.3050847457627119,1.0,0.30649066625009763,success,,
factory_vfhdbscan,1.0,60.0,13.0,0.04519774011299435,0.15306122448979592,1.0,0.06978772899098576,success,,
factory_vfhdbscan,1.0,70.0,1.0,0.4915254237288136,0.09189777052746058,1.0,0.15484502859309343,success,,
factory_vfhdbscan,1.0,70.0,3.0,0.4350282485875706,0.14677103718199608,1.0,0.219489947170385,success,,
factory_vfhdbscan,1.0,70.0,5.0,0.3898305084745763,0.18467852257181944,1.0,0.2506255549277585,success,,
factory_vfhdbscan,1.0,70.0,7.0,0.3474576271186441,0.23091603053435114,1.0,0.2774453330350652,success,,
factory_vfhdbscan,1.0,70.0,9.0,0.3220338983050847,0.2857142857142857,1.0,0.30278884462151395,success,,
